latitude,longtitude,freq,road1,road2,road1lane,road2lane,find_the_location,type,ID_Num
40.74608,-73.974945,221,East 36th Street,2nd Avenue,4,4,"Royal Tuina, East 36th Street, New York, NY",intersection,106
40.7360047,-73.9936167,217,East 14th Street,5th Avenue,2,3,"Parsons School of Design, West 13th Street, New York, NY",intersection,107
40.7332923,-73.9871799,214,East 14th Street,3rd Avenue,3,3,"East 14th Street & 3rd Avenue, New York, NY",intersection,108
40.725432,-73.996771,219,East Houston Street,Broadway,5,3,"David H. Lifschutz, MD, Broadway, New York, NY",intersection,109
40.7225499,-74.006299,218,Canal Street,Varick Street,3,4,"Albert Capsouto Park, Laight Street, New York, NY",intersection,110
40.7489156,-73.9373965,221,Jackson Avenue,Queens Boulevard,3,2,"28-30 Jackson Avenue, Long Island City, NY",intersection,111
40.7460347,-73.9344002,222,Skillman Avenue,Queens Boulevard,2,2,"Queens Boulevard & Skillman Avenue, Queens, NY",intersection,112
40.68405,-73.97746,223,Atlantic Avenue,Flatbush Avenue,4,3,"Atlantic Avenue & Flatbush Avenue, Brooklyn, NY",intersection,113
40.6241708,-73.9704715,223,Avenue J,Ocean Parkway,2,4,"Avenue J & Ocean Parkway, Brooklyn, NY",intersection,114
40.668495,-73.925606,214,Eastern Parkway,Buffalo Avenue,2,2,"Eastern Parkway & Buffalo Avenue, Brooklyn, NY",intersection,115
40.6806649,-73.9026216,214,Bushwick Avenue,Conway Street,2,1,"Cemetery of the Evergreens, Bushwick Avenue, Brooklyn, NY",intersection,116
40.680016,-73.87743,215,Atlantic Avenue,Logan Street,3,2,"Atlantic Avenue & Milford Street, Brooklyn, NY",intersection,117
40.6807,-73.8446429,221,Rockaway Boulevard,Woodhaven Boulevard,3,2,"Papa John's Pizza, Rockaway Boulevard, Ozone Park, NY",intersection,118
40.666695,-73.767136,212,South Conduit Avenue,Farmers Boulevard,4,2,"Springfield Gardens Church of the Nazarene, Farmers Boulevard, Jamaica, NY",intersection,119
40.6561603,-73.7673526,226,Rockaway Boulevard,North Boundary Road,4,2,"Dunkin', Rockaway Boulevard, Queens, NY",intersection,120
40.895374,-73.86356,205,East 233rd Street,Webster Avenue,3,2,"Woodlawn Cemetery, Webster Avenue, Bronx, NY",intersection,121
40.878643,-73.871605,209,East Gun Hill Road,Webster Avenue,3,4,"Webster Avenue & East Gun Hill Road, Bronx, NY",intersection,122
40.828125,-73.84105,202,Cross Bronx Expressway,,3,,"St. Joseph's School for the Deaf, Hutchinson River Parkway, Bronx, NY",expressway,123
40.8043758,-73.9374202,207,East 125th Street,Lexington Avenue,2,2,"East 125th Street & Lexington Avenue, New York, NY",intersection,124
40.803593,-73.919785,206,Bruckner Boulevard,Saint Ann's Avenue,2,2,"Playground One Thirty Four CXXXIV, East 133rd Street, Bronx, NY",intersection,125
40.761234,-73.96389,204,East 60th Street,2nd Avenue,5,5,"Roosevelt Island Tramway, East 60th Street, New York, NY",intersection,126
40.7599831,-73.9648018,201,East 57th Street,2nd Avenue,3,5,"East 57th Street & 2nd Avenue, New York, NY",intersection,127
40.7597902,-73.9879256,207,West 46th Street,8th Avenue,3,1,"Reidy Wine & Liquor Inc, 47th Avenue, New York, NY",intersection,128
40.7579729,-73.9855364,210,West 45th Street,7th Avenue,3,3,"Minskoff Theatre, West 45th Street, New York, NY",intersection,129
40.7578281,-73.9930696,212,West 41st Street,9th Avenue,3,4,"Port Authority Food & Deli, 9th Avenue, New York, NY",intersection,130
40.7534749,-73.9925287,204,West 36th Street,8th Avenue,3,5,"Forever Young Nail & Spa, West 36th Street, New York, NY",intersection,131
40.7484375,-73.9845604,201,West 34th Street,5th Avenue,2,5,"West 34th Street & 5th Avenue, New York, NY",intersection,132
40.7397514,-74.0025224,212,West 14th Street,8th Avenue,2,5,"Shorty Tang Noodles, 8th Avenue, New York, NY",intersection,133
40.7313511,-73.9825546,205,East 14th Street,1st Avenue,5,5,"Immaculate Conception Church, East 13th Street, New York, NY",intersection,134
40.71997,-73.992905,205,Delancey Street,Chrystie Street,4,3,"Roni-Sue's Chocolates, Forsyth Street, New York, NY",intersection,135
40.71843,-74.000534,201,Canal Street,Lafayette Street,3,4,"Le Coucou, Lafayette Street, New York, NY",intersection,136
40.76635,-73.88756,208,23rd Avenue,82nd Street,2,3,"23rd Avenue & 82nd Street, Queens, NY",intersection,137
40.7447332,-73.9335895,209,Thomson Avenue,Van Dam Street,3,3,"Van Dam Street & Thomson Avenue, Queens, NY",intersection,138
40.7367523,-73.8776702,209,Queens Boulevard,Grand Avenue,4,2,"Grand Avenue & Queens Boulevard, Queens, NY",intersection,139
40.76229,-73.75711,209,Cross Island Parkway,,3,,"Alley Pond Golf Center, Northern Boulevard, Queens, NY",expressway,140
40.7118451,-73.8597598,207,Metropolitan Avenue,Woodhaven Boulevard,2,5,"Woodhaven Boulevard & Metropolitan Avenue, Queens, NY",intersection,141
40.6899325,-73.9814728,203,Dekalb Avenue,Flatbush Avenue,2,4,"Dekalb Avenue & Flatbush Avenue, Brooklyn, NY",intersection,142
40.6844232,-73.978388,210,Atlantic Avenue,4th Avenue,3,3,"Atlantic Avenue & 4th Avenue, Brooklyn, NY",intersection,143
40.6784553,-73.9496774,212,Atlantic Avenue,Nostrand Avenue,3,3,"David's Brisket House, Nostrand Avenue, Brooklyn, NY",intersection,144
40.67816,-73.897484,207,Jamaica Avenue,Jackie Robinson Parkway,3,4,"Marginal Street West, Brooklyn, NY",intersection,145
40.68424,-73.8460949,212,101st Avenue,Woodhaven Boulevard,2,2,"Woodhaven Boulevard & 101st Avenue, Queens, NY",intersection,146
40.665257,-73.739555,202,South Conduit Avenue,Brookville Boulevard,4,2,"Throop Memorial Presby Church, Rosedale, NY",intersection,147
40.6503881,-73.958708,205,Church Avenue,Flatbush Avenue,2,3,"Flatbush Reformed Church, Flatbush Avenue, Brooklyn, NY",intersection,148
40.6420578,-74.02042,208,Belt Parkway,,3,,"NYU Langone Hospital Brooklyn, 55th Street, Brooklyn, NY",overpass,149
40.5965113,-73.9078755,202,Flatbush Avenue,,3,,"Marine Park, Brooklyn, NY",overpass,150
